epoch,train_loss,val_loss,train_acc,val_acc,train_time_taken,val_time_taken
0,6.8522,6.7263,0.58,3.35,309.44,20.6
1,6.7672,6.3288,5.31,7.15,305.08,20.63
2,6.8573,7.7922,5.86,7.07,304.32,20.45
3,6.6058,6.1387,6.33,7.15,303.95,20.45
4,6.1158,5.7304,6.51,7.97,303.36,20.4
5,5.8315,9.1288,6.93,1.93,304.08,20.53
6,5.6474,5.5933,7.57,8.64,304.64,20.55
7,5.5177,5.6517,8.43,8.04,304.3,20.53
8,5.3137,5.6766,9.83,8.41,304.51,20.64
9,5.0277,4.8796,12.16,13.63,304.74,20.73
10,4.7655,5.0122,14.22,12.96,305.52,20.54
11,4.4421,4.557,16.52,19.07,305.51,20.66
12,4.1492,4.39,19.39,19.59,304.98,20.77
13,3.8711,4.0872,22.42,22.94,305.54,20.56
14,3.6669,3.8876,23.89,26.14,305.1,20.77
15,3.5694,3.869,25.11,27.33,305.28,20.75
16,3.7152,3.8566,24.0,25.77,305.37,20.76
17,3.7966,3.9618,22.6,24.13,305.27,20.56
18,3.8244,4.3335,22.57,20.19,305.24,20.68
19,3.8452,3.959,21.82,23.46,305.28,20.44
20,3.7212,3.8798,23.63,26.59,304.65,20.76
21,3.4684,3.7475,26.28,26.96,304.06,20.63
22,3.1876,3.8759,29.05,25.39,304.84,20.56
23,3.0018,4.1682,31.35,21.6,304.6,20.56
24,2.7443,3.3232,33.69,33.45,304.16,20.51
25,2.5558,3.0866,36.14,33.51,304.59,20.5
26,2.3668,2.9846,40.25,34.92,303.39,20.52
27,2.2356,2.737,41.91,41.26,304.02,20.56
28,2.0435,2.9446,44.52,39.31,304.06,20.45
29,1.916,2.5411,46.81,43.42,303.48,20.46
30,1.7761,3.6115,49.55,28.0,303.74,20.36
31,1.6278,2.8279,51.63,37.75,303.25,20.54
32,1.4584,2.3683,55.52,46.46,303.31,20.61
33,1.4174,2.4128,55.99,45.95,303.35,20.49
34,1.2277,2.514,60.83,44.68,303.59,20.28
35,1.1576,2.2402,61.98,49.14,303.4,20.53
36,1.0242,2.9194,65.87,41.25,302.88,20.66
37,0.9362,2.4269,67.88,46.91,303.28,20.43
38,0.8492,2.0234,70.41,53.31,303.08,20.66
39,0.7522,1.993,72.75,55.1,302.32,20.6
40,0.6831,2.0893,74.62,54.5,302.8,20.24
41,0.6461,1.8916,75.37,57.86,302.95,20.41
42,0.5419,2.5527,78.72,48.25,302.63,20.63
43,0.4816,1.9315,80.9,57.18,302.3,20.54
44,0.4338,1.9295,82.36,59.35,302.32,20.5
45,0.3724,2.0037,84.22,56.97,302.75,20.51
46,0.346,1.8501,84.85,60.31,302.57,20.42
47,0.3032,1.8076,87.19,60.69,302.23,20.55
48,0.2672,1.8785,88.48,60.09,302.76,20.55
49,0.2495,1.7561,88.96,61.95,302.31,20.43
50,0.2149,1.7972,90.1,62.03,302.32,20.53
51,0.1923,1.7386,90.85,62.77,302.23,20.28
52,0.1817,1.7617,91.65,62.99,302.34,20.59
53,0.1623,1.7271,92.41,63.88,302.48,20.55
54,0.1396,1.7234,93.34,63.66,302.46,20.48
55,0.1407,1.7347,93.46,63.66,302.36,20.36
56,0.1264,1.7055,94.17,64.41,302.05,20.37
57,0.1258,1.6849,94.5,65.08,302.15,20.29
58,0.1258,1.7013,93.83,64.93,302.05,20.47
59,0.1248,1.7013,93.83,65.45,302.5,20.46
